Comment_ID	Text
z12tzn3h3rnnwzuen22guhcysqixvnv2e	deport those illegal leeches
z13uzvyxvpqtcvlyv04cffvpqv2aehwzir00k	So glad we are now committed to keep these fucking Muslim terrorists to all of humanity out of the USA. I know not all Muslim&#39;s are terrorist, but all terrorist are Muslim...So keep them the fuck out and let them practice the religion of hate in a country full of sand and ruins....So now, FUCK OFF!!!!
z13sj1awnzbszhz5o04cjnyjtmyuutax1oo0k	AWESOME !!! Finally someone is doing something ! I was never pro-Trump, voted to keep Hillary out. But Trump has been kicking butt.
z12asnmw5xmyshero04cgxg4zu30v5sakaw	No Saudi Arabia? They&#39;re the fucking top terror country in the world!
z130yldpxrj3y1mrl04cixuyfm3fzdjyyfw	Thank you Mr. President. God Bless you.
z13rvzabds3vvtckx22gir1oznfoetqf5	fuck Islam. Every American isn&#39;t as stupid and blinded as stupid snowflakes. We will overcome and destroy
z13ksvvbulbhs1ah004cfz3qcv3csfbrwkw0k	I just don&#39;t get why you guys are being so rude to all of the muslims. It&#39;s not like all of them are trying to do bad things. And banning their countries makes no sense because can&#39;t they just travel to some other country to get into the US? Also, there are already a lot of muslims in America, so are you going to make all of them leave too? Doesn&#39;t really make sense to me tbh. I mean terrorists can be home born too don&#39;t you think? I mean it&#39;s not like be we banned all the christians from coming in because of the kkk right? But idk it just doesn&#39;t make sense to me.
z12gxn04wubed5xjj04cdzxpvzmghryprno0k	Tapper is a looney goone.......<br /><br />Trump is the best thing that happened since Reagan
z13jifdg5unsdnvfd22qwdzx5rz5g5qlp	yes! I feel way more safe now!
z120w5jorlvkwniaj04ce5w51umyj3i5f1o	President Trump is Man Of His Words..I hope he will also support Indian in Cleaning Radical Islam terrorists from the face of the Earth..Long live President Trump.
z12zt1kbppvggbh4404cgriievfgdj3jun40k	This is boring. Americans have so much pride in themselves yet they are the biggest failures in literally every single war in the past 5 decades. America does have a powerful army but they are only good at losing. No brains. Just bullets and bombs. Learn from the smaller nations.
z12le1zbuuaecxrrq04cj3c4uv21tfmahrw0k	What a wonderful speech by Trump. Also how great to hear such commitment. AND yes he is already administering such detail. Back to basics, AND enough is enough! How cruel was it that the real patriotic people of the USA had to put up with the last recent presidents INABILITY TO ACT and Secure and protect their lives!...The future is now open and can be re ordered. &#39;Thank You God&#39;!
z12hgl15bpjawzu5504cdxzaynmcx3xj1r40k	Islam and muslims out of the western world now
z13vezqresfhvlnpa04cdvr5ukjdz5jphlw0k	It&#39;s time for yall lazy asses to work those immigrant jobs that no one wants to do but our European forefathers did back then when America was a hard working country!!! 🇺🇸🇺🇸🇺🇸
z13etf0hativj3n4r04ce1dbtkyyvfwaijc	How are muslims the victims? If they want something done and want to justify themselves as a non-threat, then why dont they get rid of radical islam themselves? We shouldn&#39;t be the ones clearing the muslim faith of terrorism; that should be their duty.
z13ts5wrprq3uhlq504cj12ytpi4wnoxqsc0k	The Zionists have made the majority of the American people like a flock of sheep. Soon we will hear that Islam is the cause of the financial crisis in America :)
z13ofjcb1qm4yniqx04ccntawsq0frgxfmo0k	The fact that many comments are agreeing to trump&#39;s decision is disturbing and gruesome. Comments like &quot; taking back our country&quot; is the worst of all, you don&#39;t seem to realise that America is in the situation today because Americans are egotistical. Always, &quot;we are first,&quot; &quot;we are the best&quot;. Yet do crap to prove anything. You are those lousy people that are arrogant and has this pretentious air of superior yet nothing but stupidity and cluelessness.
z12cd1fovtiag34yy04cenbipkvgdrtoq0k	The Anti Christ has arrived.
z12lf3sztzrqy5npr04cezwhflu3ezk54rs0k	This is very disturbing. Trump and Trump supporters -- didn&#39;t you all say you are fine with LEGAL immigration?! You are banning green card holders, who spent money, effort, and time to go thru the legal process to become a citizen, from entering the US? Do you still run this country by law?
z134gbhxbnfnjraps04cdrniauauzdfajvs0k	So, I was walking through Dearborn MI. and I saw that there was a “Muslim Book Store”. <br />I was wondering what exactly was in a Muslim bookstore and so I went in.<br />As I was wandering around taking a look, the clerk stopped me and asked if he could help me.<br />I imagined I didn’t look like his normal clientele, and so asked “Do you have a copy of <br />Donald Trump’s book on his U.S. Immigration Policy regarding Muslims and illegal Mexicans?”<br />The clerk said “GET OUT, GET OUT AND STAY OUT!!”<br /><br />I said “Yes yes, that’s the one I&#39;m looking for. Do you still have the hardcover version???”
z13dxpawgobptvdpw04cebe4jkmdepsizp40k	Fuck mike pence
z12bubwovuugdfxvx22curvwgmqrs5w5g04	GOD BLESS SECRETARY MATTIS, keep our country safe. I&#39;m an 8 yr vet myself (Marines &amp; Navy). If I could, I would love to be apart of the solution to get rid of Islamic terrorists. They have no place in our country. I took the same oath you did, &quot; to defend this country from all enemies foreign and domestic.&quot; Not a lot of people know that many good folks in the South were raised on guns and know how to hit ANYTHING they can see. I AM ONE OF THOSE PEOPLE!!! Should you need me, look me up. God bless America.
z13cebqacyrettqox04cdvypuye4zxbi0y40k	Regaining life, according to what you wrote, that show&#39;s the level of your intelligent, lets just say it&#39;s on life support, because if Muslims, Arabs, Mexicans, leave America you will fight with your own love ones over a single loaf of bread, your country is already in a deep shit of debts and on top of that the Arabs, the Muslims and the Mexicans take their monies and leave your country i really   don&#39;t think you&#39;ll understand the magnitude of the economic catastrophe your Americans will face, Saudi Arabia alone have investment of over $ 2 billion dollars imagine that money leave your country and it go back to Saudis, let alone the Mexicans as well, and you know the Mexicans are hard workers content people and willing to work any jobs that you will not do, see Donald Trump is not going to feel the panic of the jobs shortages because he&#39;s rich but you are going to endure it, so think before you talk or write.
z12xhl3ytmbyv1xiy04cjtgxxxnpup2yb30	President Trump and Vice President Pence rebuilding America&#39;s back bone!  Thank you and God Bless and keep you both safe.
z120zlaj5oe3sjmrn04cgfbydyiadh0inxo0k	u mean 2 tell me after all these decades America didn&#39;t have a wall, I assumed that was there,  my dumb butt, u know what happens when u assume. well Trump don&#39;t assume shyt, ima start calling Trump I mean president trump his new name Action Man or AM fo short
z13rxx2ignyighizp04cdx3ptlnrzxjxtzo0k	Saudi Arabia and Pakistan are the most radical islamists, yet they&#39;re not banned.
