Comment_ID	Text
z13wv30qnzbnzbxox04cixvjql2njftjau00k	This would be entertaining with bernie lol
z12furnpepb2hbthp04cid4wnlv5gblakuk0k	im scared that trump will win
z134czup2obosm50kte4gttyoqy2d3fk1	He DESTROYED DESTROYED DESTROYED her.
z121iloiomeqidv3523hfvvjtki2xxemb	She is so obnoxious, even in her first speech, who is she to tell the other candidate what they&#39;re doing? She&#39;s being a worm and trying to get into DT head straight away… No wonder he was taken aback at first. Evil games constantly by HC…
z12yhdkjslbcxdewe04cehlo2saivd3rdbg	Hillary sucks.
z12mtnerrkvqzrprp04chhcg2q2ygllbsls0k	People are afraid of Trump because he&#39;s so obnoxious.  That&#39;s why he was consistently allowed to talk beyond his 2 minutes; because the moderator was afraid of being humiliated by him.  Trump uses people&#39;s desire to avoid nastiness and unpleasantness by just ramming it into them.
z13bubcxllbiwrxbx04cfbax1mmdwpvxjl00k	Bill Maher made Donald Trump produce his birth certificate because Donald wanted to prove that he wasn&#39;t the progeny of a male orangutan and a female chimpanzee.
z13rfp1pkqvhcpme0233cd2aisvffdhjm04	Hillary Clinton is going to win either way, because it has been decided a long time ago at a Bilderberg Meeting. All this debates and this campaigns are all just a part of making americans believing that they have a Democracy. Hillary has The Council on Foreign Relations to back her up, and they do Control the voting system. When Bush and Gore were candidates back in 2000, Gore actually won but they made a computer program that made sure that Bush won anyway and the guy who made this computer program admitted it. Now it has come to light that they have cheated With the votes this time also. Bernie Sanders for example won in California, but someone made sure that Hillary won instead. If People take their time to watch when Hillary held her Speech in California they would be able to see that there are just a few People there who were actually listening to her, but in Berine Sanders case there were thousands of People listening. So how could Hillary win in a state where nobody wants to listen to her?? The answer is obvious. Someone who Controls the voting, made sure that she won. My point is that it doesn`t matter who wins this election, because it is The Council on Foreign Relations that Controls The White House anyway. It is time for the american People to Wake up and to be able to see that they don`t have a Democracy. Donald Trump knows that he is going to loose this election because he is aware of the elite that Controls the US. He even tried to warn the Public about Hillary and Obamas relationship whit ISIS, but many americans still don`t understand that ISIS is a CIA creation that is being used to wage war on the world. ISIS are Mercenaries that has been trained and funded by the US, and Hillary is one of those who have been involved in this. Hillary Clinton have destroyed several african countries by stealing all their Money through Clinton Foundation and she has supported wars around the world, so this bitch do not care when millions of People dies. So if you are a Hillary fan you are either clueless or evil, palin and simple. Because if you do know all the Things she have done against innocent People and you still wants her as Your president, you have the be an evil person. But if you don`t know all the Things that she has done, you are just ignorant. Excuse my English. I`m Norwegian and English is therefore my second Language.
z131s5kqsqivtr5xu04ccneq2mesvxx4qug0k	Trump Destroyed Hillary on the after 33 years you want to do this now comment,
z135dv4jgnqexrsik04cgddz1wrsyvnpejs	It&#39;s not real democracy since the 3rd party candidates aren&#39;t allowed into the debates, supposedly because of polls, but the polls are set up by the democratic and republican party combined so they often don&#39;t even have Jill Stein or Gary Johnson as an option!
z13pfd3iooecx5ctv22mf1lxytzwwplp004	I dislike hillary I was a huge bernie supporter but she handled herself very well on this debate i cant belive some trump supporters think he actually won this debate they obviously didnt watch the whole thing.
z12sh5l5ntzmu5dcg23bw53jvlfvxj3fq	Glad im not american and have to vote on those two. Hillary is a puppet but Trump is just a disgrace for the american population. there cant be a good outcome out of this presidential vote.
z12nu13aik2mdzlz404cdpj4hzvtvv25aaw	"<a href=""http://www.youtube.com/results?q=%23IAmWithHer"">#IAmWithHer</a>"
z12kh5khqyjqi1qae04ce1ih4xergbermp00k	WELL GIVE BLACK PEOPLE JOBS HILLARY, TALK IS CHEAP,BE A DOER LIAR
z12lgnsaayulcrhwj04cgrmwvkygjj5ri0w	Trump won<br />Clinton cheated<br />End of story!
z12usrwb5sq0ep3z204cjxg4buiog1ogsdg	this is like watching 2 7 yo children, both of them are not fit for president.
z12uxbkaixrxi5uzx04ccvx5nxbgurwpesw0k	"Find Donald Marshall if you wish to know secrets <a href=""https://www.facebook.com/notes/anti-illuminati-freemasonry2-%D8%B6%D8%AF-%D8%A7%D9%84%D9%85%D8%A7%D8%B3%D9%88%D9%86%D9%8A%D8%A9-%D9%88-%D8%A7%D9%84%D8%AA%D9%86%D9%88%D8%B1%D9%8A%D8%A9/to-read-part-1-confession-of-donald-marshall/10150418903279381/"">https://www.facebook.com/notes/anti-illuminati-freemasonry2-%D8%B6%D8%AF-%D8%A7%D9%84%D9%85%D8%A7%D8%B3%D9%88%D9%86%D9%8A%D8%A9-%D9%88-%D8%A7%D9%84%D8%AA%D9%86%D9%88%D8%B1%D9%8A%D8%A9/to-read-part-1-confession-of-donald-marshall/10150418903279381/</a>"
z131jj5pgsydcrlfu23jupuxoxzustt4u04	JERRY! JERRY! JERRY!!!
z13pwxv44zm4xvdbw04cdl1ibquqvb2rxis	The cunt has some weight. <br /><br />But vote for her if you want WW3!
z12kzzdafqueu5cke22ifdcopk3oihqcr	Fun fact :  11% of Americans believe Hillary Clinton is honest and trustworthy. By contrast, a 2013 Public Policy Polling survey found that 14% of Americans believe in Bigfoot. More people believe in Bigfoot than Hillary.
